fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
3.999192,NO,4.098147,0.04,0.021602
0.589352,NO,4.174098,0.033333,0.017512
3.659374,NO,3.95025,0.05,0
3.890601,NO,4.483979,0.05,0
1.729058,YES,3.93846,0.025,0.021213
2.886662,NO,4.142883,0.043333,0.011547
3.82669,YES,4.52691,0.043333,0.011547
1.731076,NO,4.146281,0.03,0.01
2.7455,NO,4.153173,0.04,0
1.783659,NO,4.043405,0.035,0.021213
3.831364,YES,4.180764,0.07,0
2.873315,YES,4.102617,0.04,0.017321
0.585639,NO,4.081248,0.027143,0.00488
0.991199,YES,3.953885,0.03,0
3.663576,NO,3.977925,0.04,0
2.988837,NO,4.138898,0.045,0.005774
2.860113,NO,4.089689,0.04,0.023664
3.914428,NO,3.989605,0.035,0.007071
0.601746,NO,4.000902,0.036,0.011402
2.869464,NO,4.0902,0.0475,0.005
2.784698,NO,4.004597,0.026667,0.008165
2.872425,NO,4.153992,0.043333,0.005774
3.867913,NO,4.051181,0.04,0.014142
3.998117,NO,4.112859,0.03,0
2.878088,NO,4.002257,0.025,0.005774
3.917835,NO,4.016524,0.022,0.00414
3.702592,NO,4.209105,0.038,0.008367
2.829347,NO,4.286553,0.026667,0.01
4.004666,NO,4.146859,0.03125,0.006409
2.84367,NO,4.185277,0.031429,0.01069
3.994886,NO,4.125235,0.034286,0.011339
1.744187,NO,4.189516,0.035,0.018516
2.794885,NO,4.104274,0.04,0.02
2.82834,NO,4.303202,0.041667,0.017224
3.864718,NO,4.189969,0.03125,0.00991
2.873043,YES,4.18437,0.035,0.005477
4.220173,NO,4.037737,0.033333,0.008165
1.677064,NO,4.179404,0.034286,0.011339
2.726783,YES,4.188558,0.0225,0.009574
3.91408,NO,4.544854,0.037143,0.009512
4.162178,YES,4.188439,0.03,0.02
2.787424,YES,4.498232,0.035,0.015119
3.998537,YES,4.293871,0.02875,0.01126
3.967899,YES,4.603385,0.024286,0.007868
2.759289,NO,4.590398,0.034,0.011402
2.920295,YES,4.199156,0.026667,0.010328
1.696392,NO,4.425143,0.02625,0.00744
3.851349,YES,4.469577,0.038571,0.015736
2.819653,YES,4.687763,0.028571,0.01069
2.767731,YES,4.480507,0.03,0.018708
3.99711,YES,4.554656,0.028571,0.013452
5.003897,NO,4.495615,0.0325,0.012583
2.182184,YES,4.364389,0.031667,0.007528
0.568504,NO,4.38553,0.036667,0.01
2.81235,NO,4.258874,0.03,0.006325
3.896622,NO,4.084045,0.038571,0.014639
1.657594,NO,4.145795,0.03125,0.012464
2.816717,NO,4.441884,0.03,0.014142
1.697374,NO,4.174452,0.041429,0.013452
2.754523,NO,4.210604,0.04,0.01069
3.890339,NO,4.166034,0.034444,0.01236
1.65326,NO,4.108569,0.0375,0.017525
2.785834,NO,4.283825,0.029,0.008756
1.720535,NO,4.201484,0.03625,0.017678
1.688024,NO,4.176665,0.037143,0.00488
3.913241,NO,4.030856,0.026667,0.008165
1.744448,NO,4.209519,0.038333,0.01169
0.534522,NO,4.071104,0.038333,0.01169
1.729294,NO,3.962392,0.037143,0.012536
2.872201,NO,4.068539,0.02625,0.010607
1.679775,NO,4.104546,0.03875,0.01126
2.850482,YES,4.119132,0.041111,0.011667
1.738555,NO,4.038084,0.051667,0.017224
1.692221,NO,4.064869,0.031429,0.006901
1.709652,NO,4.109448,0.035714,0.012724
2.887048,YES,3.882512,0.035556,0.020683
3.995281,NO,4.040975,0.04,0.008944
1.726159,NO,3.987299,0.0375,0.012817
1.712305,NO,4.116149,0.03125,0.012464
2.98568,YES,3.999686,0.035,0.005774
2.53476,NO,4.026918,0.05,0
2.854644,NO,3.974017,0.07,0
3.995852,NO,4.134977,0.033333,0.015275
1.67261,NO,4.054096,0.043333,0.005774
2.870889,NO,4.119706,0.04,0.01
2.818928,NO,4.108893,0.04,0.017321
3.884277,NO,4.15231,0.045,0.007071
3.997965,NO,4.047384,0.032727,0.009045
3.947914,NO,4.046934,0.037143,0.007559
0.609851,NO,4.035976,0.045,0.035355
3.981347,NO,4.036383,0.036667,0.005774
2.709673,NO,4.066103,0.046667,0.020817
2.822317,NO,4.229879,0.06,0
2.852557,NO,4.070374,0.02,0
1.042388,YES,4.118983,0.043333,0.015275
2.692225,NO,4.415372,0.0375,0.01488
1.812686,NO,4.301971,0.033,0.006749
4.000224,YES,4.351045,0.03875,0.012464
4.020153,NO,4.35674,0.032222,0.012019
1.848893,NO,4.327283,0.032222,0.014814
4.002779,YES,4.222019,0.035,0.01069
4.001742,NO,4.314951,0.03625,0.015059
4.308016,NO,4.45093,0.034286,0.009759
3.982255,YES,4.290757,0.03,0.013093
0.590142,NO,4.378015,0.027143,0.007559
1.763219,NO,4.289697,0.03125,0.00991
3.995295,YES,4.176045,0.03375,0.013025
4.102967,NO,4.388879,0.031429,0.01069
1.81092,NO,4.28778,0.028,0.013984
3.465697,NO,4.317989,0.035,0.01069
1.566262,NO,4.125104,0.0375,0.010351
2.79672,NO,3.914812,0.036,0.016733
1.677982,NO,4.010211,0.038333,0.019408
2.782814,NO,4.044115,0.035,0.007071
2.865827,NO,4.027445,0.03,0.012247
0.57065,NO,3.988563,0.034286,0.016183
3.892489,NO,4.024981,0.032,0.008367
3.897459,NO,4.137443,0.036,0.008944
3.88845,NO,4.013311,0.035,0.019748
2.787811,NO,3.971424,0.031667,0.013292
1.733313,NO,4.033354,0.04,0.017321
3.918287,NO,3.986047,0.04,0.011547
3.96129,NO,4.074024,0.031429,0.01215
1.72161,NO,4.074294,0.028,0.004472
3.498677,NO,4.107658,0.0225,0.005
1.627084,NO,4.192886,0.0325,0.004629
3.993503,NO,4.455964,0.038333,0.009832
1.745204,YES,4.083219,0.04,0.008944
2.822869,NO,4.189094,0.031,0.008756
2.781227,NO,4.535765,0.035,0.005774
2.84183,NO,4.33072,0.04,0.01291
1.649805,NO,4.295894,0.03,0.008165
2.802924,YES,4.474122,0.0475,0.009574
1.688521,NO,4.193591,0.054,0.023022
0.592757,NO,4.177612,0.035,0.005774
1.687579,NO,4.241451,0.042,0.004472
1.647004,NO,4.191029,0.025,0.010488
1.504566,YES,4.259936,0.03,0
2.659927,NO,4.319747,0.032857,0.007559
6.079832,NO,4.571473,0.03375,0.009161
4.003661,NO,4.394382,0.033333,0.005164
5.990509,NO,4.431766,0.043333,0.017512
6.101822,NO,4.643167,0.037,0.008233
2.750267,NO,4.407546,0.032857,0.018898
2.734487,NO,4.075004,0.031667,0.017224
3.99673,NO,4.334443,0.03125,0.008345
5.991406,NO,4.341916,0.035714,0.005345
2.900591,NO,4.282217,0.041429,0.013452
3.029895,NO,4.303054,0.03,0.005774
3.725919,NO,4.404865,0.0325,0.015811
2.749451,NO,4.280956,0.033333,0.015055
2.989926,YES,4.190956,0.055,0.007071
0.555039,NO,4.307005,0.036667,0.005774
5.013014,NO,4.399832,0.035,0.007071
5.068973,YES,4.516707,0.033333,0.005774
3.813926,NO,4.25024,0.0275,0.012583
2.870419,NO,4.105524,0.035,0.007071
5.831258,NO,4.524136,0.04,0
5.077407,NO,4.497773,0.035,0.007071
3.994106,NO,4.300974,0.035,0.007071
5.087271,NO,4.246399,0.04,0
5.15657,NO,4.509701,0.03,0
4.00163,YES,4.465925,0.033333,0.005774
1.633299,NO,4.194344,0.0375,0.009574
4.987484,NO,4.442767,0.04,0.01
5.030988,YES,4.776819,0.04,0
4.675345,YES,4.541956,0.035,0.007071
1.024755,YES,3.949546,0.03,0
2.722159,YES,4.797559,0.05,0.017321
1.661238,YES,4.253904,0.035,0.025166
3.912756,YES,4.012279,0.033333,0.005774
0.579783,NO,4.190736,0.04,0.01
0.595051,NO,4.259231,0.045,0.01
1.675479,NO,4.364408,0.0425,0.009574
4.000078,YES,4.548368,0.0275,0.005
3.851224,YES,4.11333,0.036,0.024083
1.764571,NO,4.343143,0.03,0.012247
0.596,NO,4.26912,0.038,0.004472
1.672939,NO,4.365605,0.04,0.01
3.990174,YES,4.533392,0.03,0.014142
0.564158,NO,4.314881,0.02625,0.011877
3.802066,YES,4.313327,0.031667,0.007528
3.99755,NO,4.288997,0.038,0.008367
0.571385,NO,3.938114,0.038333,0.01472
3.983397,NO,4.227814,0.038333,0.01169
3.897379,NO,4.30744,0.032857,0.00488
2.784395,NO,4.119118,0.037143,0.009512
3.864555,NO,4.244671,0.036,0.005477
3.742353,NO,4.423542,0.031667,0.01472
0.594119,NO,4.112873,0.033333,0.013663
3.950225,NO,4.241702,0.038333,0.013292
1.664463,NO,4.419794,0.044,0.011402
0.54632,NO,4.086579,0.031429,0.01069
2.799354,NO,3.97657,0.03,0.011547
2.777726,NO,4.118269,0.032222,0.009718
3.938263,NO,4.178983,0.04125,0.016421
2.797513,NO,4.028464,0.037143,0.007559
0.57142,NO,4.163839,0.036,0.015166
3.801856,NO,4.077648,0.038333,0.007528
2.787593,NO,4.028731,0.036667,0.005164
2.715681,NO,4.088423,0.035,0.013784
3.929897,NO,4.136793,0.0425,0.012583
3.988557,NO,4.196256,0.036,0.008944
3.991088,YES,4.244122,0.035,0.021213
1.623738,NO,4.163028,0.035,0.017321
0.577526,NO,4.011749,0.04,0.026458
1.728501,NO,4.075308,0.053333,0.020817
3.920897,NO,4.031521,0.0525,0.029861
2.880677,NO,4.114507,0.0475,0.017078
0.586987,NO,4.077484,0.046667,0.024221
0.572587,NO,4.191288,0.042,0.013038
1.740381,NO,4.112518,0.06,0.014142
1.670792,NO,4.261125,0.052,0.020494
2.846276,NO,4.129794,0.033333,0.005774
2.86413,NO,4.112157,0.045,0.005774
2.792672,NO,4.11188,0.035,0.020736
2.83711,NO,4.107893,0.03,0.02
1.737643,NO,4.122647,0.05,0.042426
3.902538,NO,4.066363,0.03,0.021602
3.364343,YES,4.139653,0.033333,0.005774
3.680325,NO,4.020434,0.036,0.013416
3.968641,NO,4.166092,0.034,0.011402
2.900277,NO,4.105329,0.04,0
2.796632,NO,3.961413,0.036667,0.010328
1.771802,NO,3.890871,0.04,0
3.996307,NO,4.084267,0.0475,0.009574
3.995304,NO,4.084514,0.04,0
0.585316,NO,4.019386,0.036667,0.005774
2.793319,NO,4.040515,0.036,0.005477
2.946036,NO,4.035776,0.04,0.014142
3.996095,NO,4.035931,0.026,0.011402
2.785162,NO,4.018862,0.035,0.01
2.110756,NO,3.97663,0.0525,0.012583
1.767852,NO,4.017564,0.04,0.014142
3.988573,NO,4.076454,0.035,0.021213
2.771036,NO,4.064895,0.04,0.014142
3.986384,YES,4.150716,0.035,0.01291
2.835429,NO,4.037467,0.035,0.007071
3.880776,YES,4.014139,0.05,0.017321
1.720101,NO,4.026452,0.0425,0.023629
1.688903,NO,3.992299,0.033333,0.012111
1.700239,YES,4.113125,0.046667,0.020817
1.747376,NO,4.003646,0.0725,0.045
1.68514,NO,3.979749,0.028,0.004472
0.582956,NO,4.073478,0.01,0
