@relation rhythm_attack_time_Std

@attribute fluctuation_peak_PeakPosMean numeric
@attribute fluctuation_peak_PeakMagMean numeric
@attribute fluctuation_centroid_Mean numeric
@attribute rhythm_attack_time_Mean numeric
@attribute rhythm_attack_time_Std {NO,YES}

@data
0.57065,4998.385248,3.988563,0.034286,NO
3.892489,5156.66757,4.024981,0.032,NO
3.897459,4536.951094,4.137443,0.036,NO
3.88845,5777.486542,4.013311,0.035,YES
2.787811,5251.208666,3.971424,0.031667,NO
1.733313,5002.174059,4.033354,0.04,NO
3.918287,5338.661291,3.986047,0.04,NO
3.96129,5391.708731,4.074024,0.031429,NO
1.72161,5519.665733,4.074294,0.028,NO
3.498677,6360.296182,4.107658,0.0225,NO
1.627084,5459.742398,4.192886,0.0325,NO
3.993503,6030.619718,4.455964,0.038333,NO
1.745204,7083.87907,4.083219,0.04,NO
2.822869,6050.997957,4.189094,0.031,NO
2.781227,5462.595562,4.535765,0.035,NO
2.84183,6026.687965,4.33072,0.04,NO
1.649805,5974.868311,4.295894,0.03,NO
2.802924,6645.166182,4.474122,0.0475,NO
1.688521,5207.261282,4.193591,0.054,YES
0.592757,5349.391904,4.177612,0.035,NO
1.687579,6371.331723,4.241451,0.042,NO
1.647004,5208.840697,4.191029,0.025,NO
1.504566,14090.93113,4.259936,0.03,NO
2.659927,4304.851902,4.319747,0.032857,NO
6.079832,4195.745919,4.571473,0.03375,NO
4.003661,4660.637219,4.394382,0.033333,NO
5.990509,4505.93018,4.431766,0.043333,YES
6.101822,5179.395393,4.643167,0.037,NO
2.750267,5483.859381,4.407546,0.032857,YES
2.734487,4980.015805,4.075004,0.031667,NO
3.99673,4392.058872,4.334443,0.03125,NO
5.991406,4799.756516,4.341916,0.035714,NO
2.900591,5870.284509,4.282217,0.041429,NO
3.029895,5131.903383,4.303054,0.03,NO
3.725919,4643.201791,4.404865,0.0325,NO
2.749451,4001.42801,4.280956,0.033333,NO
2.989926,6647.910694,4.190956,0.055,NO
0.555039,4401.670107,4.307005,0.036667,NO
5.013014,6258.045069,4.399832,0.035,NO
5.068973,7119.331336,4.516707,0.033333,NO
3.813926,5139.164602,4.25024,0.0275,NO
2.870419,5376.848402,4.105524,0.035,NO
5.831258,4086.235305,4.524136,0.04,NO
5.077407,5796.645255,4.497773,0.035,NO
3.994106,5047.975428,4.300974,0.035,NO
5.087271,5994.73484,4.246399,0.04,NO
5.15657,5994.397482,4.509701,0.03,NO
4.00163,7181.254326,4.465925,0.033333,NO
1.633299,4448.85936,4.194344,0.0375,NO
4.987484,5171.025948,4.442767,0.04,NO
5.030988,7636.635421,4.776819,0.04,NO
4.675345,7588.805582,4.541956,0.035,NO
1.024755,30698.63215,3.949546,0.03,NO
2.722159,8242.268052,4.797559,0.05,NO
1.661238,7299.962982,4.253904,0.035,YES
3.912756,7476.437512,4.012279,0.033333,NO
0.579783,5495.294428,4.190736,0.04,NO
0.595051,4894.218636,4.259231,0.045,NO
1.675479,5435.765601,4.364408,0.0425,NO
4.000078,7622.042815,4.548368,0.0275,NO
3.851224,8318.540183,4.11333,0.036,YES
1.764571,5188.118106,4.343143,0.03,NO
0.596,4844.122955,4.26912,0.038,NO
1.672939,5368.90917,4.365605,0.04,NO
3.990174,7847.114589,4.533392,0.03,NO
0.564158,4575.088583,4.314881,0.02625,NO
3.802066,6604.910926,4.313327,0.031667,NO
3.99755,5348.30199,4.288997,0.038,NO
0.571385,4911.312808,3.938114,0.038333,NO
3.983397,5572.817447,4.227814,0.038333,NO
3.897379,5240.541455,4.30744,0.032857,NO
2.784395,4976.389848,4.119118,0.037143,NO
3.864555,6204.71448,4.244671,0.036,NO
3.742353,4925.641195,4.423542,0.031667,NO
0.594119,4822.856945,4.112873,0.033333,NO
3.950225,5699.482974,4.241702,0.038333,NO
1.664463,4457.180633,4.419794,0.044,NO
0.54632,5752.331725,4.086579,0.031429,NO
2.799354,6090.944989,3.97657,0.03,NO
2.777726,5783.642703,4.118269,0.032222,NO
3.938263,5852.638849,4.178983,0.04125,NO
2.797513,6157.446803,4.028464,0.037143,NO
0.57142,5450.811983,4.163839,0.036,NO
3.801856,5740.231766,4.077648,0.038333,NO
2.787593,6092.011495,4.028731,0.036667,NO
2.715681,5604.006838,4.088423,0.035,NO
3.929897,6063.529194,4.136793,0.0425,NO
3.988557,5965.148136,4.196256,0.036,NO
3.991088,12374.67059,4.244122,0.035,YES
1.623738,4427.838372,4.163028,0.035,NO
0.577526,4721.470905,4.011749,0.04,YES
1.728501,4849.638107,4.075308,0.053333,YES
3.920897,5606.73487,4.031521,0.0525,YES
2.880677,4544.248738,4.114507,0.0475,NO
0.586987,4368.043569,4.077484,0.046667,YES
0.572587,4548.533143,4.191288,0.042,NO
1.740381,4526.409262,4.112518,0.06,NO
1.670792,4591.163032,4.261125,0.052,YES
2.846276,4992.67857,4.129794,0.033333,NO
2.86413,4473.173917,4.112157,0.045,NO
2.792672,4959.303973,4.11188,0.035,YES
2.83711,4685.719179,4.107893,0.03,YES
1.737643,4803.087897,4.122647,0.05,YES
3.902538,5217.184443,4.066363,0.03,YES
3.364343,8213.996716,4.139653,0.033333,NO
3.680325,4744.380067,4.020434,0.036,NO
3.968641,4905.168446,4.166092,0.034,NO
2.900277,4159.430523,4.105329,0.04,NO
2.796632,4211.856169,3.961413,0.036667,NO
1.771802,4981.722513,3.890871,0.04,NO
3.996307,4910.408523,4.084267,0.0475,NO
3.995304,4912.480283,4.084514,0.04,NO
0.585316,3974.741896,4.019386,0.036667,NO
2.793319,4537.894407,4.040515,0.036,NO
2.946036,4959.141573,4.035776,0.04,NO
3.996095,4934.452529,4.035931,0.026,NO
2.785162,4925.001594,4.018862,0.035,NO
2.110756,5482.717671,3.97663,0.0525,NO
1.767852,5808.055658,4.017564,0.04,NO
3.988573,5196.65162,4.076454,0.035,YES
2.771036,5901.387335,4.064895,0.04,NO
3.986384,6996.497782,4.150716,0.035,NO
2.835429,5783.468429,4.037467,0.035,NO
3.880776,6846.929956,4.014139,0.05,NO
1.720101,6075.154224,4.026452,0.0425,YES
1.688903,5789.641732,3.992299,0.033333,NO
1.700239,6766.644948,4.113125,0.046667,YES
1.747376,5840.669286,4.003646,0.0725,YES
1.68514,5796.011395,3.979749,0.028,NO
0.582956,4939.947037,4.073478,0.01,NO
2.865359,4584.590003,3.978318,0,NO
0.599226,4355.715979,3.944891,0,NO
4.650761,4564.173811,4.472187,0.03,NO
3.969704,5126.693194,4.066373,0.028571,NO
2.869606,5502.677154,4.195026,0.032857,NO
3.924728,5129.094283,4.095362,0.034,NO
3.980539,4956.806502,4.535504,0.026,NO
2.90771,5587.224475,4.088245,0.032,NO
1.669057,4471.656573,4.224409,0.032,YES
3.857535,4893.44459,4.190404,0.03375,NO
3.854697,6428.913301,4.266986,0.031429,NO
1.724827,5365.328733,4.157572,0.03,NO
1.701883,5077.282618,4.163036,0.03125,YES
2.828641,4728.777498,4.170355,0.035,NO
4.000951,5734.778752,4.12312,0.028889,NO
3.867939,5417.760498,4.192227,0.033333,NO
3.411084,6369.190087,3.998642,0.031667,NO
3.673182,5825.154293,4.211093,0.032857,NO
5.222807,7189.552516,4.044036,0.032857,NO
1.735272,6373.177684,4.401019,0.035714,NO
5.246521,7285.937171,4.176496,0.028333,NO
2.890605,6444.552005,4.347662,0.036,NO
4.026223,6580.532198,4.196129,0.045,NO
3.896144,7229.527105,4.175714,0.034286,NO
3.914032,6521.453313,4.059013,0.038,YES
1.633238,6422.929997,3.983205,0.036667,NO
2.780916,7429.237072,3.978568,0.03375,NO
2.886064,6707.402191,4.033318,0.036,NO
2.802364,6308.658083,4.072729,0.035,NO
3.889749,6970.445738,4.096212,0.032857,YES
2.847136,7800.875451,4.046788,0.036,NO
3.260355,4053.949364,4.525029,0.045,YES
4.060969,3793.34306,4.46274,0.04,NO
1.725766,3714.752574,4.612114,0.045,YES
0.681548,2798.70603,4.204017,0.06,YES
4.781786,4055.558195,4.40254,0.033333,NO
4.169581,3605.622521,4.34219,0.026667,NO
4.868533,3969.731698,4.396332,0.07,YES
0.681733,2721.368308,4.233128,0.0625,YES
4.861377,4246.467929,4.481482,0.02,NO
5.000685,4089.029375,4.521657,0.035,NO
4.903174,4889.680926,4.505887,0.025,NO
0.669873,2637.633827,4.412123,0.0325,NO
2.533917,4045.381258,4.532133,0.036667,NO
5.091372,3158.227235,4.621618,0.03,NO
4.938792,5997.180549,4.883697,0.04,YES
4.20544,5374.803725,3.894575,0.03,NO
3.999421,5752.58261,4.01623,0.035,NO
3.98144,7006.672301,4.079446,0.046667,NO
3.995782,6619.818069,4.196964,0.038,NO
3.999686,6399.284148,4.1374,0.0575,NO
3.899922,5633.058968,4.137364,0.041429,NO
4.003445,5753.226997,4.091175,0.035714,NO
0.565746,5475.602601,4.116814,0.035,NO
4.001384,6079.279393,4.136474,0.036667,NO
3.999231,7038.154359,4.1594,0.036667,NO
0.571472,5255.162595,3.963855,0.042857,NO
2.861366,6228.583267,4.084796,0.04,NO
3.999186,5581.403169,4.087422,0.033333,NO
3.557241,7192.137522,3.959793,0.025,NO
2.081319,7831.084834,3.953488,0.036,NO
3.938305,4528.24177,4.118373,0.06,NO
2.775788,4108.553683,4.128862,0.02,NO
2.800694,3790.478146,4.108792,0.02625,NO
2.873538,3778.087268,4.094234,0.04,NO
4.027166,3952.421138,4.187696,0.025,YES
3.802943,5131.506933,4.454651,0.035,NO
1.751787,6870.187075,3.897162,0.036667,NO
2.801246,6493.171447,3.928058,0.021667,NO
3.999194,6207.647403,4.135496,0.05,NO
3.996176,6029.298391,4.060523,0.0275,NO
2.678532,5767.257356,4.07509,0.034,NO
3.86273,6288.362129,4.214334,0.03,NO
1.732817,6029.817902,3.951469,0.04,NO
1.203071,11481.79978,3.981982,0.03,NO
2.63228,6262.322892,4.170177,0.04,NO
2.845359,6904.661085,4.17238,0.025,NO
2.854488,5949.952647,4.294309,0.04,NO
2.774035,6196.679617,4.33515,0.0325,NO
2.863163,6663.996432,4.332258,0.045,NO
5.091984,7058.089163,4.31402,0.0375,NO
2.796565,6744.96555,4.312583,0.032,NO
2.838204,6508.789881,4.340638,0.042,NO
2.794465,6501.500083,4.203458,0.032,NO
2.849405,6701.719627,4.192956,0.0425,NO
2.872918,6547.756492,4.178524,0.036,NO
2.773512,6347.25045,4.288199,0.035,NO
2.860798,6587.50815,4.258995,0.0375,NO
5.097258,6834.825817,4.267008,0.036667,NO
2.777285,6629.69495,4.099927,0.031667,NO
3.654465,3378.661764,4.052795,0.028,NO
3.908338,3843.915655,4.005889,0.035,NO
1.719362,3418.92641,4.027106,0.036667,YES
2.723762,3561.65122,3.995003,0.0425,NO
2.789061,3660.70624,4.060779,0.0375,NO
2.795581,4176.400426,3.991145,0.036667,NO
3.802406,3620.471332,4.025777,0.031667,NO
1.743791,4002.812019,4.022563,0.03,NO
1.673238,3860.586621,4.011043,0.031667,NO
3.898686,3544.782958,4.015227,0.045,NO
2.868332,3381.740745,4.07683,0.045,NO
2.716733,3534.846463,4.023377,0.026667,NO
2.463427,5208.994577,4.063295,0.046667,NO
2.651595,5848.095011,4.04246,0.034,NO
3.807442,5410.218691,4.39179,0.03125,NO
2.852453,6490.479751,3.915993,0.036667,NO
2.76941,5190.699847,4.074052,0.03125,NO
6.025851,5270.040261,4.24098,0.03,NO
2.802911,6431.149713,4.131602,0.037143,NO
3.79296,5480.840115,4.000678,0.02625,NO
2.863515,5286.35768,4.071862,0.03625,NO
2.747123,6063.826159,4.006447,0.038333,NO
3.845976,6348.075815,4.202128,0.033333,NO
4.018624,6001.54984,3.830037,0.031429,NO
3.892371,5205.793132,3.886295,0.035556,NO
1.764138,5262.597739,4.276975,0.035,NO
2.794852,6109.705351,4.229423,0.031429,NO
3.426115,6539.288331,3.961741,0.035,NO
2.613761,6004.423659,4.113045,0.0425,NO
2.864404,6440.024319,4.114136,0.032857,NO
3.965722,5838.757685,4.228588,0.035,NO
3.901467,6196.76627,3.99785,0.031111,NO
1.712961,6232.802313,4.146063,0.03,NO
1.736021,5683.079529,4.131403,0.037143,NO
3.895136,5923.575687,4.018101,0.0275,NO
3.997656,6704.66375,4.179988,0.034286,NO
3.905971,5961.021147,4.097862,0.03,NO
1.73286,6114.134029,4.040101,0.038571,NO
3.995113,6133.892844,4.060054,0.0275,NO
3.881095,5968.708255,4.155128,0.035714,NO
1.733759,5837.37023,4.101877,0.041667,NO
2.874779,6612.605908,4.021057,0.0375,NO
3.998531,12705.18196,3.999696,0.035,NO
1.588625,5994.320373,3.967807,0.03625,NO
3.997986,6386.21499,4.008359,0.03,NO
0.57757,6108.971778,4.020081,0.036667,NO
3.906727,6409.269261,3.97552,0.031429,NO
0.577462,5853.761186,4.100199,0.03,NO
3.999135,6601.319617,4.045042,0.0275,NO
2.796647,6201.843916,4.114201,0.03,NO
