fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
NO,5668.890367,3.976214,0.035,0.008367
NO,6700.058691,4.009911,0.04,0.006325
YES,6963.198199,4.095388,0.0375,0.017078
NO,3479.481176,4.234902,0.035,0.008367
YES,5335.0117,4.190296,0.035714,0.015119
NO,5247.848335,4.226447,0.041667,0.01472
NO,3827.597169,4.328702,0.036667,0.013663
YES,5001.213712,4.226676,0.035,0.010488
YES,4020.508548,4.236253,0.042857,0.013801
YES,3325.837709,4.227952,0.04,0.02
NO,1822.007193,4.437961,0.033333,0.010328
NO,5954.904087,4.174316,0.043333,0.012111
YES,4937.009181,4.098147,0.04,0.021602
NO,3650.087435,4.174098,0.033333,0.017512
NO,5274.38874,3.95025,0.05,0
NO,5861.215913,4.483979,0.05,0
NO,6879.599351,3.93846,0.025,0.021213
NO,5954.068579,4.142883,0.043333,0.011547
NO,7268.254985,4.52691,0.043333,0.011547
NO,5210.772208,4.146281,0.03,0.01
NO,5606.321428,4.153173,0.04,0
NO,6090.753173,4.043405,0.035,0.021213
NO,6587.991389,4.180764,0.07,0
NO,7200.690054,4.102617,0.04,0.017321
NO,4371.022287,4.081248,0.027143,0.00488
NO,6650.484009,3.953885,0.03,0
NO,3761.86084,3.977925,0.04,0
NO,3963.520606,4.138898,0.045,0.005774
NO,4783.430691,4.089689,0.04,0.023664
NO,3999.615119,3.989605,0.035,0.007071
NO,4392.677896,4.000902,0.036,0.011402
NO,4400.766285,4.0902,0.0475,0.005
NO,4381.177018,4.004597,0.026667,0.008165
NO,4431.616042,4.153992,0.043333,0.005774
NO,4257.718022,4.051181,0.04,0.014142
YES,4043.683346,4.112859,0.03,0
NO,3688.141486,4.002257,0.025,0.005774
NO,3642.986417,4.016524,0.022,0.00414
NO,5882.277545,4.209105,0.038,0.008367
NO,5737.650184,4.286553,0.026667,0.01
YES,5586.160524,4.146859,0.03125,0.006409
NO,5877.897944,4.185277,0.031429,0.01069
YES,5984.396733,4.125235,0.034286,0.011339
NO,5531.995173,4.189516,0.035,0.018516
NO,5967.616422,4.104274,0.04,0.02
NO,5954.45131,4.303202,0.041667,0.017224
NO,6247.848164,4.189969,0.03125,0.00991
NO,6483.699503,4.18437,0.035,0.005477
YES,6253.490159,4.037737,0.033333,0.008165
NO,5529.587866,4.179404,0.034286,0.011339
NO,6470.561627,4.188558,0.0225,0.009574
NO,5420.192789,4.544854,0.037143,0.009512
YES,7324.803902,4.188439,0.03,0.02
NO,6571.883642,4.498232,0.035,0.015119
YES,6723.688829,4.293871,0.02875,0.01126
NO,6988.671266,4.603385,0.024286,0.007868
NO,5730.551143,4.590398,0.034,0.011402
NO,7581.285349,4.199156,0.026667,0.010328
NO,5205.270938,4.425143,0.02625,0.00744
NO,8521.726976,4.469577,0.038571,0.015736
NO,7749.219259,4.687763,0.028571,0.01069
NO,7335.788298,4.480507,0.03,0.018708
YES,7991.645858,4.554656,0.028571,0.013452
YES,5983.945322,4.495615,0.0325,0.012583
NO,6555.57283,4.364389,0.031667,0.007528
NO,3942.820434,4.38553,0.036667,0.01
NO,4515.32567,4.258874,0.03,0.006325
NO,5021.237941,4.084045,0.038571,0.014639
NO,4605.514564,4.145795,0.03125,0.012464
NO,4963.942626,4.441884,0.03,0.014142
NO,4852.678609,4.174452,0.041429,0.013452
NO,4903.630278,4.210604,0.04,0.01069
NO,5442.492649,4.166034,0.034444,0.01236
NO,4652.104674,4.108569,0.0375,0.017525
NO,4451.905909,4.283825,0.029,0.008756
NO,4722.9733,4.201484,0.03625,0.017678
NO,4832.334835,4.176665,0.037143,0.00488
NO,5379.232171,4.030856,0.026667,0.008165
NO,4863.101378,4.209519,0.038333,0.01169
NO,5552.78339,4.071104,0.038333,0.01169
NO,5981.807312,3.962392,0.037143,0.012536
NO,6233.043118,4.068539,0.02625,0.010607
NO,5792.802222,4.104546,0.03875,0.01126
NO,7403.394831,4.119132,0.041111,0.011667
NO,6014.906016,4.038084,0.051667,0.017224
NO,6052.998055,4.064869,0.031429,0.006901
NO,6202.401745,4.109448,0.035714,0.012724
NO,6565.943539,3.882512,0.035556,0.020683
YES,5378.932063,4.040975,0.04,0.008944
NO,6130.375008,3.987299,0.0375,0.012817
NO,6210.609011,4.116149,0.03125,0.012464
NO,10529.40306,3.999686,0.035,0.005774
