@relation fluctuation_centroid_Mean

@attribute fluctuation_peak_PeakPosMean numeric
@attribute fluctuation_peak_PeakMagMean numeric
@attribute fluctuation_centroid_Mean {NO,YES}
@attribute rhythm_attack_time_Mean numeric
@attribute rhythm_attack_time_Std numeric

@data
2.887048,6565.943539,YES,0.035556,0.020683
3.995281,5378.932063,YES,0.04,0.008944
1.726159,6130.375008,YES,0.0375,0.012817
1.712305,6210.609011,NO,0.03125,0.012464
2.98568,10529.40306,YES,0.035,0.005774
2.53476,4634.719022,YES,0.05,0
2.854644,5080.09515,YES,0.07,0
3.995852,4504.067493,NO,0.033333,0.015275
1.67261,4681.373876,YES,0.043333,0.005774
2.870889,5391.092342,NO,0.04,0.01
2.818928,5824.807169,NO,0.04,0.017321
3.884277,4831.503239,NO,0.045,0.007071
3.997965,4182.140274,YES,0.032727,0.009045
3.947914,4358.427474,YES,0.037143,0.007559
0.609851,4162.683989,YES,0.045,0.035355
3.981347,4090.805086,YES,0.036667,0.005774
2.709673,4912.869658,NO,0.046667,0.020817
2.822317,5366.282203,NO,0.06,0
2.852557,4598.573273,NO,0.02,0
1.042388,6595.42017,NO,0.043333,0.015275
2.692225,4236.92397,NO,0.0375,0.01488
1.812686,4461.179411,NO,0.033,0.006749
4.000224,7857.313622,NO,0.03875,0.012464
4.020153,5020.851323,NO,0.032222,0.012019
1.848893,5313.533366,NO,0.032222,0.014814
4.002779,7319.36918,NO,0.035,0.01069
4.001742,4025.845451,NO,0.03625,0.015059
4.308016,4805.980796,NO,0.034286,0.009759
3.982255,7114.900101,NO,0.03,0.013093
0.590142,4370.378717,NO,0.027143,0.007559
1.763219,4409.901061,NO,0.03125,0.00991
3.995295,7380.038369,NO,0.03375,0.013025
4.102967,4974.811506,NO,0.031429,0.01069
1.81092,5185.9296,NO,0.028,0.013984
3.465697,5883.670743,NO,0.035,0.01069
1.566262,4607.199091,NO,0.0375,0.010351
2.79672,5840.46723,YES,0.036,0.016733
1.677982,5064.366051,YES,0.038333,0.019408
2.782814,4852.46664,YES,0.035,0.007071
2.865827,5231.469721,YES,0.03,0.012247
0.57065,4998.385248,YES,0.034286,0.016183
3.892489,5156.66757,YES,0.032,0.008367
3.897459,4536.951094,NO,0.036,0.008944
3.88845,5777.486542,YES,0.035,0.019748
2.787811,5251.208666,YES,0.031667,0.013292
1.733313,5002.174059,YES,0.04,0.017321
3.918287,5338.661291,YES,0.04,0.011547
3.96129,5391.708731,NO,0.031429,0.01215
1.72161,5519.665733,NO,0.028,0.004472
3.498677,6360.296182,NO,0.0225,0.005
1.627084,5459.742398,NO,0.0325,0.004629
3.993503,6030.619718,NO,0.038333,0.009832
1.745204,7083.87907,NO,0.04,0.008944
2.822869,6050.997957,NO,0.031,0.008756
2.781227,5462.595562,NO,0.035,0.005774
2.84183,6026.687965,NO,0.04,0.01291
1.649805,5974.868311,NO,0.03,0.008165
2.802924,6645.166182,NO,0.0475,0.009574
1.688521,5207.261282,NO,0.054,0.023022
0.592757,5349.391904,NO,0.035,0.005774
1.687579,6371.331723,NO,0.042,0.004472
1.647004,5208.840697,NO,0.025,0.010488
1.504566,14090.93113,NO,0.03,0
2.659927,4304.851902,NO,0.032857,0.007559
6.079832,4195.745919,NO,0.03375,0.009161
4.003661,4660.637219,NO,0.033333,0.005164
5.990509,4505.93018,NO,0.043333,0.017512
6.101822,5179.395393,NO,0.037,0.008233
2.750267,5483.859381,NO,0.032857,0.018898
2.734487,4980.015805,NO,0.031667,0.017224
3.99673,4392.058872,NO,0.03125,0.008345
5.991406,4799.756516,NO,0.035714,0.005345
2.900591,5870.284509,NO,0.041429,0.013452
3.029895,5131.903383,NO,0.03,0.005774
3.725919,4643.201791,NO,0.0325,0.015811
2.749451,4001.42801,NO,0.033333,0.015055
2.989926,6647.910694,NO,0.055,0.007071
0.555039,4401.670107,NO,0.036667,0.005774
5.013014,6258.045069,NO,0.035,0.007071
5.068973,7119.331336,NO,0.033333,0.005774
3.813926,5139.164602,NO,0.0275,0.012583
2.870419,5376.848402,NO,0.035,0.007071
5.831258,4086.235305,NO,0.04,0
5.077407,5796.645255,NO,0.035,0.007071
3.994106,5047.975428,NO,0.035,0.007071
5.087271,5994.73484,NO,0.04,0
5.15657,5994.397482,NO,0.03,0
4.00163,7181.254326,NO,0.033333,0.005774
1.633299,4448.85936,NO,0.0375,0.009574
4.987484,5171.025948,NO,0.04,0.01
5.030988,7636.635421,NO,0.04,0
4.675345,7588.805582,NO,0.035,0.007071
1.024755,30698.63215,YES,0.03,0
2.722159,8242.268052,NO,0.05,0.017321
1.661238,7299.962982,NO,0.035,0.025166
3.912756,7476.437512,YES,0.033333,0.005774
0.579783,5495.294428,NO,0.04,0.01
0.595051,4894.218636,NO,0.045,0.01
1.675479,5435.765601,NO,0.0425,0.009574
4.000078,7622.042815,NO,0.0275,0.005
3.851224,8318.540183,NO,0.036,0.024083
1.764571,5188.118106,NO,0.03,0.012247
0.596,4844.122955,NO,0.038,0.004472
1.672939,5368.90917,NO,0.04,0.01
3.990174,7847.114589,NO,0.03,0.014142
0.564158,4575.088583,NO,0.02625,0.011877
3.802066,6604.910926,NO,0.031667,0.007528
3.99755,5348.30199,NO,0.038,0.008367
0.571385,4911.312808,YES,0.038333,0.01472
3.983397,5572.817447,NO,0.038333,0.01169
3.897379,5240.541455,NO,0.032857,0.00488
2.784395,4976.389848,NO,0.037143,0.009512
3.864555,6204.71448,NO,0.036,0.005477
3.742353,4925.641195,NO,0.031667,0.01472
0.594119,4822.856945,NO,0.033333,0.013663
3.950225,5699.482974,NO,0.038333,0.013292
1.664463,4457.180633,NO,0.044,0.011402
0.54632,5752.331725,NO,0.031429,0.01069
2.799354,6090.944989,YES,0.03,0.011547
2.777726,5783.642703,NO,0.032222,0.009718
3.938263,5852.638849,NO,0.04125,0.016421
2.797513,6157.446803,YES,0.037143,0.007559
0.57142,5450.811983,NO,0.036,0.015166
3.801856,5740.231766,NO,0.038333,0.007528
2.787593,6092.011495,YES,0.036667,0.005164
2.715681,5604.006838,NO,0.035,0.013784
3.929897,6063.529194,NO,0.0425,0.012583
3.988557,5965.148136,NO,0.036,0.008944
3.991088,12374.67059,NO,0.035,0.021213
1.623738,4427.838372,NO,0.035,0.017321
0.577526,4721.470905,YES,0.04,0.026458
1.728501,4849.638107,NO,0.053333,0.020817
3.920897,5606.73487,YES,0.0525,0.029861
2.880677,4544.248738,NO,0.0475,0.017078
0.586987,4368.043569,NO,0.046667,0.024221
0.572587,4548.533143,NO,0.042,0.013038
1.740381,4526.409262,NO,0.06,0.014142
1.670792,4591.163032,NO,0.052,0.020494
2.846276,4992.67857,NO,0.033333,0.005774
2.86413,4473.173917,NO,0.045,0.005774
2.792672,4959.303973,NO,0.035,0.020736
2.83711,4685.719179,NO,0.03,0.02
1.737643,4803.087897,NO,0.05,0.042426
3.902538,5217.184443,NO,0.03,0.021602
3.364343,8213.996716,NO,0.033333,0.005774
3.680325,4744.380067,YES,0.036,0.013416
3.968641,4905.168446,NO,0.034,0.011402
2.900277,4159.430523,NO,0.04,0
2.796632,4211.856169,YES,0.036667,0.010328
1.771802,4981.722513,YES,0.04,0
3.996307,4910.408523,NO,0.0475,0.009574
3.995304,4912.480283,NO,0.04,0
0.585316,3974.741896,YES,0.036667,0.005774
2.793319,4537.894407,YES,0.036,0.005477
2.946036,4959.141573,YES,0.04,0.014142
