@relation spectral_mfcc_Mean_12

@attribute spectral_mfcc_Mean_12 {NO,YES}
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 numeric
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
NO,0.048323,0.378886,0.553271,0.271854
NO,0.037573,0.521388,0.377895,0.270686
NO,0.015463,0.470322,0.336933,0.229916
YES,0.03075,0.335861,0.309992,0.324448
YES,0.007685,0.191472,0.327966,0.406998
YES,-0.115599,0.235328,0.273316,0.207324
NO,0.000687,0.368135,0.46448,0.135895
NO,-0.531372,0.487911,0.300164,0.173236
NO,-0.183073,0.513909,0.280714,0.230925
NO,0.290999,0.391289,0.198891,0.249351
NO,0.141089,0.437183,0.3932,0.377344
NO,-0.534006,0.389653,0.192137,0.174525
NO,-0.059818,0.29004,0.420245,0.204902
NO,0.090397,0.413788,0.224209,0.137306
NO,0.290645,0.350104,0.473438,0.184262
NO,-0.01233,0.366842,0.397017,0.176324
YES,0.164973,0.475529,0.165148,0.225744
YES,0.280915,0.357633,0.115262,0.100293
YES,0.02771,0.615477,0.368997,0.274338
YES,-0.164442,0.751411,0.290393,0.260631
YES,-0.191305,0.377612,0.235969,0.150673
NO,-0.289735,0.52402,0.525868,0.240681
NO,-0.147597,0.513019,0.358709,0.162441
NO,-0.33536,0.485343,0.29844,0.205294
NO,-0.178864,0.647996,0.296816,0.193931
NO,-0.165969,0.769214,0.341639,0.135524
YES,-0.155828,0.532622,0.242458,0.231202
YES,-0.22363,0.471417,0.527116,0.259579
NO,-0.135345,0.454584,0.34417,0.194564
NO,-0.244322,0.375287,0.255941,0.201879
NO,-0.020538,0.635418,0.463325,0.352977
YES,0.088761,0.620372,0.546278,0.308105
NO,0.076014,0.517907,0.438685,0.302291
NO,0.058591,0.64971,0.393084,0.269363
YES,0.172267,0.57372,0.481885,0.332751
YES,0.0876,0.664008,0.488596,0.43165
YES,0.020496,0.605789,0.818035,0.376001
NO,-0.092461,0.694569,0.393044,0.340964
NO,0.028201,0.675449,0.410795,0.306525
NO,-0.076378,0.683237,0.438383,0.414963
YES,0.179468,0.685788,0.644227,0.259037
NO,0.086433,0.489423,0.301535,0.308937
NO,0.083205,0.684785,0.396529,0.293524
YES,0.209847,0.630443,0.508369,0.314352
YES,0.178535,0.716974,0.451064,0.507226
NO,0.088993,0.803037,0.351705,0.155001
NO,0.17479,0.593691,0.329705,0.226414
NO,0.178921,0.552606,0.373857,0.203559
NO,0.145714,0.544833,0.354164,0.148347
NO,-0.047869,0.729151,0.474516,0.205037
