@relation spectral_mfcc_Std_1

@attribute spectral_mfcc_Mean_12 numeric
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 {NO,YES}
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
0.246501,-0.026389,NO,0.312263,0.137317
0.287283,-0.322599,NO,0.602855,0.207306
-0.152966,-0.215666,NO,0.18308,0.099856
-0.293216,-0.100741,NO,0.420753,0.150385
-0.197469,-0.358998,NO,0.342768,0.166262
0.262375,-0.271846,NO,0.342629,0.165081
0.603368,0.066502,NO,0.211527,0.097266
0.248311,0.185342,YES,0.33887,0.19214
0.19573,0.174159,YES,0.344128,0.137852
0.258048,0.228421,YES,0.333123,0.18715
0.186672,0.133561,YES,0.319586,0.184769
0.256452,0.212185,YES,0.269916,0.173888
0.228653,0.180644,YES,0.352642,0.18749
0.259731,0.182305,NO,0.350195,0.195648
0.248448,0.185128,YES,0.32593,0.203798
0.162201,0.149748,YES,0.375443,0.187735
0.25,0.239972,NO,0.274907,0.149586
0.210161,0.150913,YES,0.307535,0.196945
0.285009,0.193729,YES,0.308078,0.194901
0.167263,0.15537,YES,0.34851,0.189247
0.201353,0.165892,YES,0.419961,0.204294
0.255685,0.224003,NO,0.238467,0.197607
-0.102342,-0.259172,NO,0.238457,0.207669
0.120028,-0.160425,NO,0.278863,0.269863
0.008057,-0.122526,NO,0.204566,0.175309
-0.065789,-0.252682,NO,0.145418,0.249655
0.068465,-0.084498,NO,0.153259,0.133322
0.023242,-0.023662,NO,0.178691,0.210369
-0.028271,0.03128,NO,0.141411,0.196819
-0.176663,-0.141131,NO,0.346936,0.294706
0.071221,-0.274101,NO,0.337994,0.22482
0.184142,-0.114047,NO,0.204882,0.152541
-0.057484,-0.140733,NO,0.13637,0.210665
-0.037578,-0.206156,NO,0.165318,0.216217
0.031372,-0.107134,NO,0.14398,0.162623
0.126259,-0.208664,NO,0.244767,0.188971
-0.085647,-0.143789,NO,0.163822,0.263227
0.027715,0.256991,YES,0.292125,0.19754
0.188976,0.232946,NO,0.189534,0.190622
-0.102175,0.044456,NO,0.340817,0.190308
-0.010711,0.107042,NO,0.187518,0.14089
0.063428,0.137136,NO,0.337116,0.259669
-0.011087,0.064385,NO,0.363415,0.212748
-0.179698,-0.017183,NO,0.223374,0.159834
0.072241,0.12416,NO,0.351846,0.242228
0.373736,0.310624,NO,0.341113,0.183244
0.224054,0.073553,NO,0.198872,0.146016
0.318398,0.267509,NO,0.323628,0.206103
0.037065,0.04913,NO,0.278154,0.153455
0.162787,0.142082,YES,0.15652,0.166129
0.217302,0.170658,NO,0.321646,0.266459
